Experiment Date,Log ID,Position ID,Model ID,Experiment ID,Experiment Name
2019-02-03-16-31-54, 1, 1, 1,exp010,exp_largebasic_rocket_hate_nagent1
2019-02-02-11-31-31, 2, 2,2 ,exp011,exp_largebasic_rocket_hate_nagent1
2019-02-01-20-50-17, 3,3,3,exp012,exp_largebasic_rocket_hate_nagent1
2019-02-02-13-19-03, 4,4,4,exp013,exp_largebasic_rocket_hate_nagent1
2019-02-02-14-30-22, 5,5,5,exp014,exp_largebasic_rocket_hate_nagent1
2019-02-04-19-32-59,6,6,6,exp026,exp_largebasic_rocket_hate_nagent2
2019-02-05-22-53-19,7,7,7,exp026,exp_largebasic_rocket_hate_nagent3
2019-02-06-08-08-50,8,8,8,exp026,exp_largebasic_rocket_hate_nagent4
2019-02-06-21-28-35,9,9,9,exp026,exp_largebasic_rocket_hate_nagent5
2019-02-08-18-09-18,10,10,10,exp026,exp_largebasic_rocket_hate_nagent6
2019-02-09-05-16-28,11,11,11,exp026,exp_largebasic_rocket_hate_nagent7
2019-02-04-20-21-11,12,12,12,exp027,exp_largebasic_rocket_hate_nagent2
2019-02-06-00-03-29,13,13,13,exp027,exp_largebasic_rocket_hate_nagent3
2019-02-06-09-19-02,14,14,14,exp027,exp_largebasic_rocket_hate_nagent4
2019-02-06-22-39-26,15,15,15,exp027,exp_largebasic_rocket_hate_nagent5
2019-02-08-19-53-07,16,16,16,exp027,exp_largebasic_rocket_hate_nagent6
2019-02-09-07-03-22,17,17,17,exp027,exp_largebasic_rocket_hate_nagent7
2019-02-04-20-57-30,18,18,18,exp028,exp_largebasic_rocket_hate_nagent2
2019-02-06-01-15-11,19,19,19,exp028,exp_largebasic_rocket_hate_nagent3
2019-02-06-12-37-32,20,20,20,exp028,exp_largebasic_rocket_hate_nagent4
2019-02-06-23-51-56,21,21,21,exp028,exp_largebasic_rocket_hate_nagent5
2019-02-08-21-06-22,22,22,22,exp028,exp_largebasic_rocket_hate_nagent6
2019-02-09-08-52-24,23,23,23,exp028,exp_largebasic_rocket_hate_nagent7
2019-02-04-21-38-38,24,24,24,exp029,exp_largebasic_rocket_hate_nagent2
2019-02-06-02-37-23,25,25,25,exp029,exp_largebasic_rocket_hate_nagent3
2019-02-06-13-59-34,26,26,26,exp029,exp_largebasic_rocket_hate_nagent4
2019-02-07-01-13-38,27,27,27,exp029,exp_largebasic_rocket_hate_nagent5
2019-02-08-22-28-36,28,28,28,exp029,exp_largebasic_rocket_hate_nagent6
2019-02-09-10-58-04,29,29,29,exp029,exp_largebasic_rocket_hate_nagent7
2019-02-04-22-33-35,30,30,30,exp030,exp_largebasic_rocket_hate_nagent2
2019-02-06-04-25-34,31,31,31,exp030,exp_largebasic_rocket_hate_nagent3
2019-02-06-18-14-17,32,32,32,exp030,exp_largebasic_rocket_hate_nagent4
2019-02-07-03-02-10,33,33,33,exp030,exp_largebasic_rocket_hate_nagent5
2019-02-09-00-17-44,34,34,34,exp030,exp_largebasic_rocket_hate_nagent6
2019-02-09-13-38-50,35,35,35,exp030,exp_largebasic_rocket_hate_nagent7
2019-02-09-18-15-56,36,36,36,exp031,exp_largebasic_rocket_hate_eps1
2019-02-09-19-46-31,37,37,37,exp031,exp_largebasic_rocket_hate_eps1
2019-02-09-21-16-15,38,38,38,exp031,exp_largebasic_rocket_hate_eps1
2019-02-12-19-33-47,39,39,39,exp031,exp_largebasic_rocket_hate_epsnagent1
2019-02-12-20-41-12,40,40,40,exp032,exp_largebasic_rocket_hate_epsnagent1
2019-02-12-21-57-25,41,41,41,exp033,exp_largebasic_rocket_hate_epsnagent1
2019-02-12-23-31-10,42,42,42,exp034,exp_largebasic_rocket_hate_epsnagent1
2019-02-13-01-42-10,43,43,43,exp035,exp_largebasic_rocket_hate_epsnagent1
2019-02-01-22-11-21,44,44,44,exp015,exp_largebasic_rocket_hate_nagent1
2019-02-14-20-37-49,45,45,45,exp031,exp_largebasic_rocket_hate_eps2
2019-02-14-21-43-32,46,46,46,exp032,exp_largebasic_rocket_hate_eps2
2019-02-14-23-00-24,47,47,47,exp033,exp_largebasic_rocket_hate_eps2
2019-02-15-00-34-48,48,48,48,exp034,exp_largebasic_rocket_hate_eps2
2019-02-15-02-45-47,49,49,49,exp035,exp_largebasic_rocket_hate_eps2
2019-02-15-06-46-27,50,50,50,exp031,exp_largebasic_rocket_hate_eps3
2019-02-15-07-53-40,51,51,51,exp032,exp_largebasic_rocket_hate_eps3
2019-02-15-09-10-32,52,52,52,exp033,exp_largebasic_rocket_hate_eps3
